date,festival
2015-01-01,New Year
2015-01-26,Republic Day
2015-03-06,Holi
2015-08-29,Rakhi
2015-12-25,Christmas
2015-07-18,Eid
2015-11-11,Diwali
2016-01-01,New Year
2016-01-26,Republic Day
2016-03-24,Holi
2016-08-18,Rakhi
2016-12-25,Christmas
2016-07-07,Eid
2016-10-30,Diwali
2017-01-01,New Year
2017-01-26,Republic Day
2017-03-13,Holi
2017-08-07,Rakhi
2017-12-25,Christmas
2017-06-26,Eid
2017-10-19,Diwali
2018-01-01,New Year
2018-01-26,Republic Day
2018-03-02,Holi
2018-08-26,Rakhi
2018-12-25,Christmas
2018-06-15,Eid
2018-11-07,Diwali
2019-01-01,New Year
2019-01-26,Republic Day
2019-03-21,Holi
2019-08-15,Rakhi
2019-12-25,Christmas
2019-06-05,Eid
2019-10-27,Diwali
2020-01-01,New Year
2020-01-26,Republic Day
2020-03-10,Holi
2020-08-03,Rakhi
2020-12-25,Christmas
2020-05-25,Eid
2020-11-14,Diwali
2021-01-01,New Year
2021-01-26,Republic Day
2021-03-29,Holi
2021-08-22,Rakhi
2021-12-25,Christmas
2021-05-14,Eid
2021-11-04,Diwali
2022-01-01,New Year
2022-01-26,Republic Day
2022-03-18,Holi
2022-08-11,Rakhi
2022-12-25,Christmas
2022-05-03,Eid
2022-10-24,Diwali
2023-01-01,New Year
2023-01-26,Republic Day
2023-03-08,Holi
2023-08-30,Rakhi
2023-12-25,Christmas
2023-04-22,Eid
2023-11-12,Diwali
2024-01-01,New Year
2024-01-26,Republic Day
2024-03-25,Holi
2024-08-19,Rakhi
2024-12-25,Christmas
2024-04-10,Eid
2024-11-01,Diwali
2025-01-01,New Year
2025-01-26,Republic Day
2025-03-14,Holi
2025-08-09,Rakhi
2025-12-25,Christmas
2025-03-30,Eid
2025-10-20,Diwali
2026-01-01,New Year
2026-01-26,Republic Day
2026-03-04,Holi
2026-08-28,Rakhi
2026-12-25,Christmas
2026-03-20,Eid
2026-11-08,Diwali
2027-01-01,New Year
2027-01-26,Republic Day
2027-03-22,Holi
2027-08-18,Rakhi
2027-12-25,Christmas
2027-03-09,Eid
2027-10-29,Diwali
2028-01-01,New Year
2028-01-26,Republic Day
2028-03-11,Holi
2028-08-06,Rakhi
2028-12-25,Christmas
2028-02-26,Eid
2028-10-17,Diwali
2029-01-01,New Year
2029-01-26,Republic Day
2029-03-01,Holi
2029-08-23,Rakhi
2029-12-25,Christmas
2029-02-14,Eid
2029-11-05,Diwali
2030-01-01,New Year
2030-01-26,Republic Day
2030-03-20,Holi
2030-08-13,Rakhi
2030-12-25,Christmas
2030-02-04,Eid
2030-10-26,Diwali 
